site,name,country,lon,lat,elev,IGBP,MAP,MAT,tier1,tier2,url
DK-Fou,Foulum,Denmark,9.58722,56.4842,51,CRO,"",8,2005-2005,2005-2005,http://sites.fluxdata.org/DK-Fou/
DK-NuF,Nuuk Fen,Denmark,-51.38611,64.13083,50,WET,750,-1.4,2008-2014,2008-2014,http://sites.fluxdata.org/DK-NuF/
DK-Sor,Soroe,Denmark,11.64464,55.48587,40,DBF,660,8.2,1996-2014,1996-2014,http://sites.fluxdata.org/DK-Sor/
DK-ZaF,Zackenberg Fen,Denmark,-20.55452,74.48143,38,WET,211,-9,2008-2011,2008-2011,http://sites.fluxdata.org/DK-ZaF/
DK-ZaH,Zackenberg Heath,Denmark,-20.5503,74.47328,38,GRA,211,-9,2000-2014,2000-2014,http://sites.fluxdata.org/DK-ZaH/
ES-Amo,Amoladeras,Spain,-2.25232,36.83361,58,OSH,0,"","",2007-2012,http://sites.fluxdata.org/ES-Amo/
ES-LJu,Llano de los Juanes,Spain,-2.75212,36.92659,1600,OSH,400,16,"",2004-2013,http://sites.fluxdata.org/ES-LJu/
ES-LgS,Laguna Seca,Spain,-2.96583,37.09794,2267,OSH,"","",2007-2009,2007-2009,http://sites.fluxdata.org/ES-LgS/
ES-Ln2,Lanjaron-Salvage logging,Spain,-3.47582,36.9695,2249,OSH,"","",2009-2009,2009-2009,http://sites.fluxdata.org/ES-Ln2/
FI-Hyy,Hyytiala,Finland,24.29477,61.84741,181,ENF,709,3.8,1996-2014,1996-2014,http://sites.fluxdata.org/FI-Hyy/
FI-Jok,Jokioinen,Finland,23.51345,60.8986,109,CRO,627,4.6,2000-2003,2000-2003,http://sites.fluxdata.org/FI-Jok/
FI-Let,Lettosuo,Finland,23.95952,60.64183,119,ENF,"","","",2009-2012,http://sites.fluxdata.org/FI-Let/
FI-Lom,Lompolojankka,Finland,24.20918,67.99724,274,WET,484,-1.4,2007-2009,2007-2009,http://sites.fluxdata.org/FI-Lom/
FI-Sod,Sodankyla,Finland,26.63859,67.36239,180,ENF,500,-1,2001-2014,2001-2014,http://sites.fluxdata.org/FI-Sod/
FR-Fon,Fontainebleau-Barbeau,France,2.7801,48.47636,103,DBF,720,10.2,2005-2014,2005-2014,http://sites.fluxdata.org/FR-Fon/
FR-Gri,Grignon,France,1.95191,48.84422,125,CRO,650,12,2004-2013,2004-2014,http://sites.fluxdata.org/FR-Gri/
FR-LBr,Le Bray,France,-0.7693,44.71711,61,ENF,900,13.6,1996-2008,1996-2008,http://sites.fluxdata.org/FR-LBr/
FR-Pue,Puechabon,France,3.5957,43.7413,270,EBF,883,13.5,2000-2014,2000-2014,http://sites.fluxdata.org/FR-Pue/
GF-Guy,Guyaflux (French Guiana),French Guyana,-52.92486,5.27877,48,EBF,3041,25.7,2004-2014,2004-2014,http://sites.fluxdata.org/GF-Guy/
GH-Ank,Ankasa,Ghana,-2.69421,5.26854,124,EBF,1900,26,"",2011-2014,http://sites.fluxdata.org/GH-Ank/
IT-BCi,Borgo Cioffi,Italy,14.95744,40.52375,20,CRO,600,18,2004-2014,2004-2014,http://sites.fluxdata.org/IT-BCi/
IT-CA1,Castel d'Asso1,Italy,12.02656,42.38041,200,DBF,766,14,2011-2014,2011-2014,http://sites.fluxdata.org/IT-CA1/
